limiar,recall,precisao,f1,FN,FP
0.05,0.9761904761904762,0.9111111111111111,0.9425287356321839,1,4
0.1,0.9761904761904762,0.9761904761904762,0.9761904761904762,1,1
0.15,0.9761904761904762,0.9761904761904762,0.9761904761904762,1,1
0.2,0.9761904761904762,0.9761904761904762,0.9761904761904762,1,1
0.25,0.9761904761904762,1.0,0.9879518072289156,1,0
0.3,0.9761904761904762,1.0,0.9879518072289156,1,0
0.35,0.9761904761904762,1.0,0.9879518072289156,1,0
0.4,0.9761904761904762,1.0,0.9879518072289156,1,0
0.45,0.9761904761904762,1.0,0.9879518072289156,1,0
0.5,0.9523809523809523,1.0,0.975609756097561,2,0
0.55,0.9047619047619048,1.0,0.95,4,0
0.6,0.9047619047619048,1.0,0.95,4,0
0.65,0.8809523809523809,1.0,0.9367088607594937,5,0
0.7,0.8809523809523809,1.0,0.9367088607594937,5,0
0.75,0.8809523809523809,1.0,0.9367088607594937,5,0
0.8,0.8809523809523809,1.0,0.9367088607594937,5,0
0.85,0.8809523809523809,1.0,0.9367088607594937,5,0
0.9,0.8809523809523809,1.0,0.9367088607594937,5,0
0.95,0.8571428571428571,1.0,0.9230769230769231,6,0
